survived,pclass,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone,sex_female,sex_male,embarked_C,embarked_Q,embarked_S
0,3,0.2711736617240512,1,0,0.014151057562208049,Third,man,True,,Southampton,no,False,False,True,False,False,True
1,1,0.4722292033174164,1,0,0.13913573538264068,First,woman,False,C,Cherbourg,yes,False,True,False,True,False,False
1,3,0.32143754712239253,0,0,0.015468569817999833,Third,woman,False,,Southampton,yes,True,True,False,False,False,True
1,1,0.4345312892686604,1,0,0.10364429745562033,First,woman,False,C,Southampton,yes,False,True,False,False,False,True
0,3,0.4345312892686604,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,0,0,0.01650950209357577,Third,man,True,,Queenstown,no,True,False,True,False,True,False
0,1,0.6732847449107816,0,0,0.10122885832000206,First,man,True,E,Southampton,no,True,False,True,False,False,True
0,3,0.01985423473234481,3,1,0.04113566043083236,Third,child,False,,Southampton,no,False,False,True,False,False,True
1,3,0.33400351847197784,0,2,0.021730754366528396,Third,woman,False,,Southampton,yes,False,True,False,False,False,True
1,2,0.17064589092736868,1,0,0.058694292654020104,Second,child,False,,Cherbourg,yes,False,True,False,True,False,False
1,3,0.04498617743151546,1,1,0.03259622914329302,Third,child,False,G,Southampton,yes,False,True,False,False,False,True
1,1,0.723548630309123,0,0,0.051822148727810165,First,woman,False,C,Southampton,yes,True,True,False,False,False,True
0,3,0.24604171902488062,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.4847951746670017,1,5,0.06104473451835265,Third,man,True,,Southampton,no,False,False,True,False,False,True
0,3,0.17064589092736868,0,0,0.015330377421392339,Third,child,False,,Southampton,no,True,True,False,False,False,True
1,2,0.685850716260367,0,0,0.03122992013728673,Second,woman,False,,Southampton,yes,True,True,False,False,False,True
0,3,0.01985423473234481,4,1,0.05684821399990475,Third,child,False,,Queenstown,no,False,False,True,False,True,False
1,2,0.36792055349407915,0,0,0.025374310111545468,Second,man,True,,Southampton,yes,True,False,True,False,False,True
0,3,0.38426740387031916,1,0,0.03513366015444757,Third,woman,False,,Southampton,no,False,True,False,False,False,True
1,3,0.36792055349407915,0,0,0.014102260811993537,Third,woman,False,,Cherbourg,yes,True,True,False,True,False,False
0,2,0.4345312892686604,0,0,0.050748620223090936,Second,man,True,,Southampton,no,True,False,True,False,False,True
1,2,0.4219653179190751,0,0,0.025374310111545468,Second,man,True,D,Southampton,yes,True,False,True,False,False,True
1,3,0.18321186227695402,0,0,0.015671954672893913,Third,child,False,,Queenstown,yes,True,True,False,False,True,False
1,1,0.34656948982156316,0,0,0.06929138530460494,First,man,True,A,Southampton,yes,True,False,True,False,False,True
0,3,0.09525006282985675,3,1,0.04113566043083236,Third,child,False,,Southampton,no,False,True,False,False,False,True
1,3,0.4722292033174164,1,5,0.06126431989431795,Third,woman,False,,Southampton,yes,False,True,False,False,False,True
0,3,0.36792055349407915,0,0,0.014102260811993537,Third,man,True,,Cherbourg,no,True,False,True,True,False,False
0,1,0.2334757476752953,3,2,0.5133418122566507,First,man,True,C,Southampton,no,False,False,True,False,False,True
1,3,0.36792055349407915,0,0,0.01537917417160685,Third,woman,False,,Queenstown,yes,True,True,False,False,True,False
0,3,0.36792055349407915,0,0,0.015411575213749286,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,1,0.49736114601658704,0,0,0.05410739813385612,First,man,True,,Cherbourg,no,True,False,True,True,False,False
1,1,0.36792055349407915,1,0,0.2859895551532101,First,woman,False,B,Cherbourg,yes,False,True,False,True,False,False
1,3,0.36792055349407915,0,0,0.015126992566498259,Third,woman,False,,Queenstown,yes,True,True,False,False,True,False
0,2,0.8240764011058055,0,0,0.020494635090094415,Second,man,True,,Southampton,no,True,False,True,False,False,True
0,1,0.34656948982156316,1,0,0.16038672010106003,First,man,True,,Cherbourg,no,False,False,True,True,False,False
0,1,0.5224930887157577,1,0,0.10149724044618187,First,man,True,,Southampton,no,False,False,True,False,False,True
1,3,0.36792055349407915,0,0,0.014110458666029575,Third,man,True,,Cherbourg,yes,True,False,True,True,False,False
0,3,0.2586076903744659,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.22090977632571,2,0,0.03513366015444757,Third,woman,False,,Southampton,no,False,True,False,False,False,True
1,3,0.17064589092736868,1,0,0.021942337075458514,Third,child,False,,Cherbourg,yes,False,True,False,True,False,False
0,3,0.49736114601658704,1,0,0.018493968331299484,Third,woman,False,,Southampton,no,False,True,False,False,False,True
0,2,0.33400351847197784,1,0,0.04098927018018883,Second,woman,False,,Southampton,no,False,True,False,False,False,True
0,3,0.36792055349407915,0,0,0.015411575213749286,Third,man,True,,Cherbourg,no,True,False,True,True,False,False
1,2,0.032420206081930136,1,2,0.08115719346076702,Second,child,False,,Cherbourg,yes,False,True,False,True,False,False
1,3,0.2334757476752953,0,0,0.01537917417160685,Third,woman,False,,Queenstown,yes,True,True,False,False,True,False
0,3,0.36792055349407915,0,0,0.015712553569072387,Third,man,True,,Southampton,no,True,False,True,False,False,True
0,3,0.36792055349407915,1,0,0.030253985132996517,Third,man,True,,Queenstown,no,False,False,True,False,True,False
1,3,0.36792055349407915,0,0,0.015126992566498259,Third,woman,False,,Queenstown,yes,True,True,False,False,True,False
